unix_ts,iso_utc,league,currency,value,quote
1785816556,2026-08-04T04:09:16+00:00,Runes of Aldur,Divine Orb,384.4,Exalted Orb
1785816556,2026-08-04T04:09:16+00:00,Runes of Aldur,Chaos Orb,48.5113,Exalted Orb
1785825475,2026-08-04T06:37:55+00:00,Runes of Aldur,Divine Orb,384.2,Exalted Orb
1785825475,2026-08-04T06:37:55+00:00,Runes of Aldur,Chaos Orb,48.6013,Exalted Orb
1785836816,2026-08-04T09:46:56+00:00,Runes of Aldur,Divine Orb,383.8,Exalted Orb
1785836816,2026-08-04T09:46:56+00:00,Runes of Aldur,Chaos Orb,48.5507,Exalted Orb
1785845661,2026-08-04T12:14:21+00:00,Runes of Aldur,Divine Orb,385.9,Exalted Orb
1785845661,2026-08-04T12:14:21+00:00,Runes of Aldur,Chaos Orb,48.8163,Exalted Orb
1785857571,2026-08-04T15:32:51+00:00,Runes of Aldur,Divine Orb,388.5,Exalted Orb
1785857571,2026-08-04T15:32:51+00:00,Runes of Aldur,Chaos Orb,49.223,Exalted Orb
1785862284,2026-08-04T16:51:24+00:00,Runes of Aldur,Divine Orb,388.2,Exalted Orb
1785862284,2026-08-04T16:51:24+00:00,Runes of Aldur,Chaos Orb,49.1849,Exalted Orb
1785866468,2026-08-04T18:01:08+00:00,Runes of Aldur,Divine Orb,387.6,Exalted Orb
1785866468,2026-08-04T18:01:08+00:00,Runes of Aldur,Chaos Orb,49.1864,Exalted Orb
1785873129,2026-08-04T19:52:09+00:00,Runes of Aldur,Divine Orb,386.6,Exalted Orb
1785873129,2026-08-04T19:52:09+00:00,Runes of Aldur,Chaos Orb,49.0595,Exalted Orb
1785878635,2026-08-04T21:23:55+00:00,Runes of Aldur,Divine Orb,385.3,Exalted Orb
1785878635,2026-08-04T21:23:55+00:00,Runes of Aldur,Chaos Orb,48.9331,Exalted Orb
1785885363,2026-08-04T23:16:03+00:00,Runes of Aldur,Divine Orb,383.9,Exalted Orb
1785885363,2026-08-04T23:16:03+00:00,Runes of Aldur,Chaos Orb,48.8705,Exalted Orb
1785900464,2026-08-05T03:27:44+00:00,Runes of Aldur,Divine Orb,386,Exalted Orb
1785900464,2026-08-05T03:27:44+00:00,Runes of Aldur,Chaos Orb,49.2536,Exalted Orb
1785911929,2026-08-05T06:38:49+00:00,Runes of Aldur,Divine Orb,382.9,Exalted Orb
1785911929,2026-08-05T06:38:49+00:00,Runes of Aldur,Chaos Orb,49.2792,Exalted Orb
